Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"entreprise.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/entreprise.data.gouv.fr","Front-end pour les API open-data, notamment Sirene et RNA",false,"2017-06-16T12:10:17Z","2018-12-10T13:32:26Z","https://entreprise.data.gouv.fr/",4,6,"MIT License",13,"Vue"
"csv_detective","https://github.com/etalab","https://github.com/etalab/csv_detective","CSV inspection",true,"2017-06-20T16:07:38Z","2018-04-10T14:33:46Z","",4,1,,0,"Python"
"apientreprise","https://github.com/etalab","https://github.com/etalab/apientreprise",,false,"2017-06-21T10:59:10Z","2018-01-22T18:48:47Z",,2,0,"MIT License",0,
"piwik_logs","https://github.com/etalab","https://github.com/etalab/piwik_logs",,false,"2017-06-21T11:38:13Z","2018-01-22T18:48:47Z",,0,3,,1,"Jupyter Notebook"
"quartiers-prioritaires","https://github.com/etalab","https://github.com/etalab/quartiers-prioritaires",,false,"2017-06-26T15:11:45Z","2018-01-22T18:48:48Z",,0,0,,0,"Shell"
"normadresse","https://github.com/etalab","https://github.com/etalab/normadresse","Module python de normalisation de libellés de voie/lieu-dit",false,"2017-06-28T13:55:21Z","2018-11-10T13:44:59Z",,5,3,,1,"Python"
"transport-landing-page","https://github.com/etalab","https://github.com/etalab/transport-landing-page","[DEPRECATED] Landing page de transport.data.gouv.fr",false,"2017-07-03T16:00:32Z","2018-03-27T18:27:11Z","https://github.com/etalab/transport-site",1,1,"MIT License",0,"HTML"
"transport-datatools-server","https://github.com/etalab","https://github.com/etalab/transport-datatools-server","Server for Conveyal's GTFS data management platform",true,"2017-07-03T16:42:18Z","2018-04-22T01:53:44Z",,2,0,"MIT License",0,"Java"
"catalogue_ui","https://github.com/etalab","https://github.com/etalab/catalogue_ui","Catalogue Angular 2 UI",true,"2017-07-03T16:42:40Z","2018-01-22T18:48:50Z",,0,0,,0,"TypeScript"
"gpu-jpeg2k","https://github.com/etalab","https://github.com/etalab/gpu-jpeg2k",,false,"2017-07-11T17:27:45Z","2018-06-20T22:55:44Z",,4,1,,0,"C"
"transport-datatools-ui","https://github.com/etalab","https://github.com/etalab/transport-datatools-ui","Core application for the Conveyal transit data tools suite",true,"2017-07-12T13:50:42Z","2018-06-19T19:35:02Z",,0,0,"MIT License",3,"JavaScript"
"user-research","https://github.com/etalab","https://github.com/etalab/user-research","🎤 Entretiens utilisateurs pour la compréhension des usages 🤓 réduction des frictions entre utilisateurs et données.",false,"2017-07-18T12:48:20Z","2018-10-10T08:15:51Z","https://data.gouv.fr",13,5,,1,
"data.gouv.fr","https://github.com/etalab","https://github.com/etalab/data.gouv.fr","Ce dépôt rassemble les tickets techniques qui portent sur data.gouv.fr.",false,"2017-07-25T13:33:57Z","2018-11-19T13:58:12Z","https://www.data.gouv.fr",12,4,,49,
"blog-eig2","https://github.com/etalab","https://github.com/etalab/blog-eig2",,false,"2017-08-11T09:54:02Z","2018-10-08T14:04:45Z","https://entrepreneur-interet-general.etalab.gouv.fr/",1,11,"Apache License 2.0",1,"HTML"
"transport-site","https://github.com/etalab","https://github.com/etalab/transport-site","Rendre disponible, valoriser et améliorer les données transports",false,"2017-08-31T16:00:09Z","2018-12-21T15:01:32Z","https://transport.data.gouv.fr",6,9,,9,"Elixir"
"irve","https://github.com/etalab","https://github.com/etalab/irve","Scripts de contrôle et agrégation des fichiers IRVE publiés sur data.gouv.fr",false,"2017-09-01T13:54:08Z","2018-01-22T18:49:06Z",,0,0,"GNU Affero General Public License v3.0",0,"Python"
